use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,image_name,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.854419410745234,0.11913968100531658,0.20911983032873807,0.003737022428611214,0.02950110426745941,0.1266739416935603,0.20911983032873807,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.6360153256704981,0.03392601675863478,0.06441598758246021,0.001690403559562438,0.03295963109047221,0.05128707424095982,0.06441598758246021,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.9329388560157791,0.057542579075425794,0.10839922080898362,0.003283657489264966,0.056728907196196915,0.0578833098102056,0.10839922080898362,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.799347471451876,0.11818620356970574,0.2059256146249212,0.003970181540274998,0.02950110426745941,0.13457734186854847,0.2059256146249212,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.42548596112311016,0.04055166735282009,0.07404623191129488,0.002998685241675896,0.03295963109047221,0.09098051867266052,0.07404623191129488,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.9209932279909706,0.04910338187507522,0.09323583180987204,0.0028691524018626823,0.056728907196196915,0.05057654091897649,0.09323583180987204,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.9760348583877996,0.10821256038647344,0.19482496194824964,0.0029727786737132533,0.02950110426745941,0.1007683522310991,0.19482496194824964,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.6360153256704981,0.03392601675863478,0.06441598758246021,0.001690403559562438,0.03295963109047221,0.05128707424095982,0.06441598758246021,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.971252566735113,0.057542579075425794,0.1086482140806248,0.0031541246494517523,0.056728907196196915,0.0555999445316965,0.1086482140806248,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.9273504273504274,0.10467920887602508,0.188123103597746,0.0030310684516291994,0.02950110426745941,0.10274420227484615,0.188123103597746,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.42548596112311016,0.04055166735282009,0.07404623191129488,0.002998685241675896,0.03295963109047221,0.09098051867266052,0.07404623191129488,1
